"","indiv","n.igis.tot","max.age.tot"
"1","10",16,4425
"2","17",3,2926
"3","1F",2,3339
"4","1L",7,3716
"5","1M",26,4212
"6","24M005",1,2340
"7","24M040",1,351
"8","24M051",1,31
"9","24M052",1,31
"10","24M053",1,31
"11","24M054",1,31
"12","24M055",1,31
"13","26M018",1,345
"14","26M019",1,345
"15","26M020",1,345
"16","26M021",1,345
"17","26M031",1,134
"18","26M032",1,134
"19","27M005",1,1834
"20","27M006",1,1834
"21","27M009",1,1834
"22","27M014",1,1806
"23","27M024",1,1806
"24","27M028",1,1529
"25","27M033",1,1529
"26","27M040",1,574
"27","27M041",1,524
"28","27M042",1,524
"29","27M043",1,524
"30","27M046",1,524
"31","27M047",1,524
"32","27M050",1,361
"33","27M051",1,361
"34","27M054",1,200
"35","27M057",1,200
"36","27M058",1,200
"37","27M060",1,200
"38","27M062",1,127
"39","27M063",1,127
"40","27M066",1,48
"41","27M068",1,48
"42","27M070",1,48
"43","27M071",1,48
"44","27M072",1,48
"45","27M073",1,48
"46","2E",1,1566
"47","32",4,3582
"48","39",1,2150
"49","40",1,2616
"50","8B",55,3377
"51","8C",3,1554
"52","8D",4,2052
"53","8T",2,2816
"54","91",1,2128
"55","9Q",18,3650
"56","9W",41,3179
"57","9X",1,1056
"58","A5",1,1056
"59","AL",1,194
"60","AS",3,465
"61","BC",34,3012
"62","BH",34,3893
"63","BJ",25,3704
"64","BM005",1,251
"65","BM006",1,251
"66","BM007",1,251
"67","BM008",1,251
"68","BM012",1,251
"69","BM015",1,143
"70","BM020",28,1573
"71","BM023",2,571
"72","BM024",3,1019
"73","BM027",2,571
"74","BM028",125,3786
"75","BM029",97,3125
"76","BM030",112,3349
"77","BM032",1,3
"78","BM033",1,3
"79","BM036",85,2546
"80","BM037",1,3
"81","BM038",1,3
"82","BM039",1,3
"83","BM040",1,3
"84","BM041",1,3
"85","BM042",1,3
"86","BM052",1,361
"87","BM053",1,361
"88","BM054",112,3202
"89","BM056",1,361
"90","BM064",9,1071
"91","BM069",81,2241
"92","BM070",1,291
"93","BM077",1,220
"94","BM086",1,149
"95","BM089",1,149
"96","BM095",1,149
"97","BM097",1,78
"98","BM098",1,78
"99","BM101",1,78
"100","BM103",1,11
"101","BM104",7,769
"102","BM105",1,11
"103","BM106",1,11
"104","BM107",1,11
"105","BM109",1,11
"106","BM110",1,11
"107","BM111",124,3266
"108","BM132",23,796
"109","BM139",76,1615
"110","BM146",58,1136
"111","BM157",59,1090
"112","BM173",6,348
"113","BM182",1,11
"114","BM183",63,941
"115","BM188",1,11
"116","BM189",1,11
"117","BM200",2,51
"118","BM201",2,51
"119","BM204",34,414
"120","BM205",21,279
"121","BM206",2,51
"122","BM207",44,539
"123","BM210",124,2613
"124","BM211",75,1140
"125","BM212",107,2104
"126","BM213",7,139
"127","BM216",145,4211
"128","BM223",2,51
"129","BM228",81,1669
"130","BM248",2,32
"131","BM251",2,32
"132","BM260",40,538
"133","BM263",19,157
"134","BM266",44,928
"135","BM268",7,70
"136","BM270",3,28
"137","BM276",19,270
"138","BM278",35,780
"139","BM285",59,1444
"140","BM286",26,457
"141","BM287",4,29
"142","BM290",14,129
"143","BM292",5,44
"144","BM293",4,29
"145","BM294",4,29
"146","BM307",18,526
"147","BM310",71,2663
"148","BM311",33,1086
"149","BM312",47,1337
"150","BM316",42,1219
"151","BM321",3,29
"152","BM326",1,27
"153","BM327",1,27
"154","BM346",32,928
"155","BM352",29,785
"156","BM354",48,1338
"157","BM357",2,52
"158","BM359",4,389
"159","BM360",28,766
"160","BM362",29,785
"161","BM366",2,52
"162","BM409",5,144
"163","BM410",56,2161
"164","BM416",42,948
"165","BM419",42,948
"166","BM420",46,1024
"167","BM423",2,40
"168","BM427",2,40
"169","BM430",2,40
"170","BM431",2,40
"171","BM434",9,125
"172","BM435",25,423
"173","BM436",67,3240
"174","BM438",70,3809
"175","BM440",16,156
"176","BM441",9,125
"177","BM445",33,746
"178","BM446",14,193
"179","BM447",11,69
"180","BM448",26,473
"181","BM449",4,38
"182","BM451",13,174
"183","BM453",4,38
"184","BM455",53,2435
"185","BM459",1,12
"186","BM464",3,51
"187","BM465",2,32
"188","BM468",3,51
"189","BM480",2,15
"190","BM481",2,15
"191","BM482",8,152
"192","BM486",15,425
"193","BM495",1,7
"194","BM496",1,7
"195","BM500",39,3185
"196","BM502",7,209
"197","BM505",7,209
"198","BM508",7,209
"199","BM520",1,13
"200","BM524",6,571
"201","BM525",4,54
"202","BM558",32,2687
"203","BM559",7,562
"204","BM562",7,562
"205","BM563",6,342
"206","BM564",32,2687
"207","BM567",6,342
"208","BM570",6,342
"209","BM580",9,597
"210","BM583",6,274
"211","BM584",6,274
"212","BM590",6,274
"213","BM609",1,188
"214","BM614",3,226
"215","BM615",1,123
"216","BM618",1,123
"217","BM620",26,2248
"218","BM626",3,226
"219","BM635",3,127
"220","BM637",4,310
"221","BM638",19,1054
"222","BM643",14,752
"223","BM646",3,132
"224","BM653",19,871
"225","BM654",4,180
"226","BM662",22,1795
"227","BM663",8,315
"228","BM664",8,315
"229","BM665",15,700
"230","BM666",18,805
"231","BM667",18,805
"232","BM668",18,805
"233","BM670",5,306
"234","BM672",10,508
"235","BM693",6,149
"236","BM704",4,19
"237","BM705",4,19
"238","BM707",10,439
"239","BM709",12,965
"240","BM711",10,439
"241","BM713",7,334
"242","BM715",7,334
"243","BM750",10,746
"244","BM751",8,220
"245","BM754",9,641
"246","BM755",12,1210
"247","BM756",8,220
"248","BM779",1,8
"249","BM781",1,8
"250","BM782",1,8
"251","BM783",1,8
"252","BM784",1,8
"253","BN",3,1756
"254","BQ",9,2172
"255","BT",6,1808
"256","C0",1,906
"257","CC",38,2204
"258","CE",1,115
"259","CF",1,115
"260","CM011",6,1540
"261","CMUK4",4,1534
"262","D0",50,3244
"263","DM005",21,2111
"264","DM015",7,971
"265","DM021",3,647
"266","DM023",62,3407
"267","DM027",67,3739
"268","DM039",33,1294
"269","DM040",26,996
"270","DM041",2,105
"271","DM043",2,105
"272","DM047",63,2918
"273","DM048",17,573
"274","DM053",23,856
"275","DM054",61,2980
"276","DM057",21,701
"277","DM059",23,771
"278","DM062",2,8
"279","DM063",3,75
"280","DM077",25,1117
"281","DM078",25,1117
"282","DM084",24,1047
"283","DM085",1,66
"284","DM088",4,154
"285","DM090",22,908
"286","DM091",2,15
"287","DM093",2,15
"288","DM094",2,15
"289","DM095",5,137
"290","DM097",2,15
"291","DM098",2,15
"292","DM100",17,739
"293","DM101",17,739
"294","DM104",17,739
"295","DM106",17,739
"296","DM107",17,739
"297","DM108",17,739
"298","DM109",17,739
"299","DM112",17,739
"300","DM114",2,69
"301","DM116",1,52
"302","DM118",13,594
"303","DM124",20,776
"304","DM126",39,2449
"305","DM129",7,172
"306","DM131",27,1320
"307","DM133",19,620
"308","DM138",27,1320
"309","DM141",19,620
"310","DM143",28,1522
"311","DM144",28,1522
"312","DM164",4,514
"313","DM165",33,2472
"314","DM168",21,1762
"315","DM170",21,1627
"316","DM171",39,2406
"317","DM172",3,42
"318","DM179",27,1952
"319","DM180",20,1800
"320","DM186",6,708
"321","DM189",30,1921
"322","DM192",32,2664
"323","DM193",17,1405
"324","DM194",31,2299
"325","DM198",29,1671
"326","DM199",2,209
"327","DM202",7,622
"328","DM203",5,434
"329","DM204",29,1671
"330","DM205",1,7
"331","DM206",10,721
"332","DM209",23,1527
"333","DM211",2,237
"334","DM212",27,1490
"335","DM213",30,2314
"336","DM214",1,66
"337","DM215",28,1528
"338","DM219",1,45
"339","DM220",27,1336
"340","DM224",3,94
"341","DM236",2,56
"342","DM249",12,847
"343","EM001",2,347
"344","EM004",2,347
"345","FM014",11,2219
"346","FM016",2,1326
"347","FM022",2,1326
"348","FM025",9,1840
"349","FM030",18,2249
"350","FM033",5,1519
"351","FM034",11,1899
"352","FM039",3,964
"353","FM042",2,688
"354","FM048",2,623
"355","FM054",18,1720
"356","FM064",2,392
"357","FM068",11,1285
"358","FM072",11,1285
"359","FM073",34,2577
"360","FM079",10,938
"361","FM080",10,938
"362","FM081",10,938
"363","FM083",10,938
"364","FM084",10,938
"365","FM087",10,938
"366","FM088",10,938
"367","FM100",20,929
"368","FM102",30,1609
"369","FM103",8,570
"370","FM105",26,1429
"371","FM128",3,213
"372","FM130",1,8
"373","FM131",1,8
"374","FM132",25,1357
"375","FM140",4,104
"376","FM142",18,1116
"377","FM150",10,757
"378","FM156",4,175
"379","FM157",8,355
"380","FM171",4,647
